TAXON_ORDER,SPECIES_CODE,COMMON_NAME,REASON,PRIORITY,PARTNER_REQUEST,CONT_MAX,CUSTOM_TAX_YEAR,BOW_LINK,MODEL_AS_RESIDENT,SUMMARIZE_AS_RESIDENT,LAND,STATUS,REVIEWER,LAST_REVIEWER,ANIMATION_QUALITY,NONBREEDING_START,NONBREEDING_END,PREBREEDING_MIGRATION_START,PREBREEDING_MIGRATION_END,BREEDING_START,BREEDING_END,POSTBREEDING_MIGRATION_START,POSTBREEDING_MIGRATION_END,RESIDENT_START,RESIDENT_TREND_START,RESIDENT_TREND_END,RESIDENT_END,NONBREEDING_QUALITY,PREBREEDING_MIGRATION_QUALITY,BREEDING_QUALITY,POSTBREEDING_MIGRATION_QUALITY,FULL_YEAR_QUALITY,SENSITIVE,FORCE_GLOBAL_PROJ,CUSTOM_ES,notes,LAST_SUBMISSION_TIME
32737,pinbun,Pine Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/pinbun/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,,,,,0,0,0,0,0,,,,,
32742,gyhbun1,Gray-necked Bunting,India,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/gyhbun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,11-15,03-08,03-29,05-03,05-10,07-19,09-06,11-08,,,,,2,1,1,1,1,,,,,
32793,slabun1,Slaty Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/slabun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,,,,,0,0,0,0,0,,,,,
32798,ocrbun1,Ochre-rumped Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/ocrbun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,11-22,12-27,03-22,05-31,06-07,06-21,10-18,11-15,,,,,1,1,1,1,1,,,,,
32801,palbun,Pallas's Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/palbun/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,10-25,03-29,,,,,,,,,,,1,0,0,0,1,,,,,
32806,reebun,Reed Bunting,Europe,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/reebun/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,,,,,0,0,0,0,0,,,,"Fine for Europe, but useless for Bunting project. Re-evaluate fully in 2026.",
32830,litbun,Little Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/litbun/cur/introduction#mig,FALSE,FALSE,LAND,REVIEWED,MTA,MTA,1,12-06,03-29,04-05,05-31,,,08-23,11-29,,,,,2,1,0,1,1,,,,"Nonbreeding is great and migrations from Mongolia south okay, missing all of Russia. Breeding in Europe is okay, but still on the sparse side.",
32831,rusbun,Rustic Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/rusbun/cur/introduction#mig,FALSE,FALSE,LAND,REVIEWED,MTA,MTA,1,12-13,03-15,04-12,05-10,05-17,08-09,09-06,12-06,,,,,2,1,1,1,1,,,,"Nonbreeding is great and migrations from Mongolia south okay, missing all of Russia. Breeding in Europe is good, so worth keeping.",
32834,yelbun1,Yellow Bunting,Japan,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/yelbun1/cur/introduction#mig,FALSE,FALSE,LAND,REVIEWED,MTA,MTA,1,12-13,01-18,03-01,05-10,05-17,07-19,10-25,12-06,,,,,1,1,2,1,1,,,,"Nonbreeding on Philippines missing. Breeding on Japan looks decent, if a touch extensive.",
32835,bkfbun1,Black-faced Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/bkfbun1/cur/introduction#mig,FALSE,FALSE,LAND,REVIEWED,MTA,MTA,2,11-29,03-08,03-15,06-07,06-14,07-19,08-09,11-22,,,,,2,1,1,1,2,,,,"Breeding seems a little constrained in China and definitely not north enough in Russia. Nonbreeding is good, if a touch sparse into Nepal.",
32840,chebun1,Chestnut Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/chebun1/cur/introduction#mig,FALSE,FALSE,LAND,REVIEWED,MTA,MTA,1,12-06,03-22,03-29,05-24,,,08-23,11-29,,,,,1,1,0,1,1,,,,"Breeding is missing, but migrations don't seem too off and nonbreeding captures the main areas well.",
32841,yebbun1,Yellow-browed Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/yebbun1/cur/introduction#mig,FALSE,FALSE,LAND,REVIEWED,MTA,MTA,1,12-06,03-22,03-29,05-24,,,08-23,11-29,,,,,2,1,0,1,1,,,,"Missing breeding, nonbreeding is good, if a little jumpy.",2026-07-16T18:58:34.866Z
32842,tribun1,Tristram's Bunting,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/tribun1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,12-13,02-08,02-15,05-31,,,09-27,12-06,,,,,2,1,0,1,1,,,,,
32843,grybun,Gray Bunting,Japan,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/grybun/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,12-20,03-22,04-05,05-24,06-07,07-05,10-04,12-13,,,,,2,1,1,1,2,,,,,
3492,comnig,Common Nighthawk,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/comnig/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-06,02-22,03-01,06-14,06-21,07-19,07-26,11-29,,,,,1,2,2,2,2,,,,"Overall this is pretty good in the US and Canada; misses west/central Mexico breeders. South American has filled in a good bit, which is nice, but still incomplete. Northern edge in Canda is rough during breeding and late in the season.",2025-10-06T00:00.000Z
27295,winwre3,Winter Wren,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/winwre3/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,02-22,03-01,05-24,05-31,07-12,08-02,11-29,,,,,3,3,3,3,3,,,,"Northern edge of breeding gets surprisingly sparse the last week of July, first weeks of August. Rivers are amazing.",2025-10-06T00:00.000Z
33991,conwar,Connecticut Warbler,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/conwar/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,,,05-03,06-14,06-21,07-12,08-23,11-01,,,,,0,2,3,2,3,,,,"Breeding more honest in central Ontario. Migrations through US are good, a little more complete. Unsure about northern edge a bit, during breeding.",2025-10-06T00:00.000Z
34148,palwar,Palm Warbler,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/palwar/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-15,03-22,03-29,05-24,05-31,08-09,08-16,11-08,,,,,3,3,2,3,3,,,,"Post-breeding a bit noisy in high Canada, hence 2 for animation. Breeding season is missing some of the northwestern most birds in NWT and Yukon and also northeastern most birds in Quebec.",2025-10-06T00:00.000Z
737,blksco2,Black Scoter,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/blksco2/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-27,03-08,03-15,05-31,06-07,08-02,08-16,12-20,,,,,3,2,2,2,2,,,,Breeding is now wildly underpredicted in Quebec and Nunavut. Nonbreeding extrap in Alaska much more under control this year. Japan and Korea much less overpredicted this year too.,2024-10-07T19:56:10.114Z
19163,bkcvir1,Black-capped Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/bkcvir1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,10-04,03-08,03-15,05-03,05-10,05-24,09-06,09-27,,,,,1,3,3,1,2,,,,Surprised at how stable non-breeding is. Breeding gets a little too extrap'd (too areas north of Abilene) so keeping animation 0. Nonbreeding doesn't go far enough north past Culiacán or south enough into Guerrero or Oaxaca. ,2024-10-07T20:20:33.179Z
27188,sumwre1,Sumichrast's Wren,Mexico,1,,North America,,https://birdsoftheworld.org/bow/species/sumwre1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Wow.,2024-09-20T21:07:27.684Z
31889,sprpip,Sprague's Pipit,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/sprpip/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-29,02-22,03-01,05-10,05-17,08-02,08-30,11-22,,,,,2,3,3,3,3,,,,Maybe a little tightly fit in nonbreeding and not far enough south in Mexico at that season.,2024-11-19T21:02:40.569Z
33201,whtspa,White-throated Sparrow,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/whtspa/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,03-29,04-05,05-31,06-07,08-02,08-09,11-29,,,,,3,3,3,3,3,,,,"Northern breeding range edge could push a little further north in NWT and Quebec, otherwise, excellent.",2024-12-05T18:30:19.200Z
12136,prafal,Prairie Falcon,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/prafal/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,11-01,02-22,03-01,05-03,05-10,07-05,07-12,10-25,,,,,2,3,3,3,3,,,,Animation is very noisy. Overpredicting birds in Illinois. Missing a chunk of birds in northcentral Mexico. ,2024-10-08T19:44:18.796Z
28000,grycat,Gray Catbird,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/grycat/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,03-29,04-05,05-31,06-07,08-09,08-16,11-29,,,,,3,3,3,3,3,,,,Excellent.,2024-10-11T20:30:27.615Z
28347,woothr,Wood Thrush,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/woothr/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-22,03-01,03-08,05-24,05-31,07-26,08-02,11-15,,,,,3,3,3,3,3,,,,Excellent.,2024-11-06T16:43:42.983Z
8064,goleag,Golden Eagle,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/goleag/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-13,02-15,02-22,05-31,06-07,08-16,08-23,12-06,,,,,2,2,2,2,2,,TRUE,0.5,"Much better in northern Canada and Mexico this year, more complete in eastern US, I think. Eurasia similar.",2025-10-06T00:00.000Z
8367,baleag,Bald Eagle,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/baleag/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-27,02-01,02-08,05-10,05-17,07-26,08-02,12-20,,,,,3,3,3,3,3,,,,"Breeding season in Northwest Territories is patchy. Much better at not overpredicting to mountains in BC and Alaska. Much better fit to water this year. Still having trouble getting any Mexican birds. Nice to see better fit to rivers in WY, MT, and IA.",2025-10-06T00:00.000Z
12108,sakfal1,Saker Falcon,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/sakfal1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,,,,,,,,,,,,,1,1,1,1,1,,,0.5,,
2,ostric2,Common Ostrich,Africa,1,,Africa,,https://birdsoftheworld.org/bow/species/ostric2/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"E. Africa not bad, maybe a bit overextrap'd in parts of Tanzania? Eastern South Africa is a bit too sparse. Missing pops in Niger/Chad/Nigeria/CAR, etc.",2025-03-21T14:35:53.746Z
32,grerhe1,Greater Rhea,Brazil,1,TRUE,South America,,https://birdsoftheworld.org/bow/species/grerhe1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,Giving this a two because I think we could do a better job with the sparse distribution in eastern Brazil and around Córdoba in Argentina.,2025-01-21T22:00:16.582Z
38,lesrhe2,Lesser Rhea,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/lesrhe2/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,VPM,3,,,,,,,,,04-26,,,08-30,3,3,3,3,3,,,,"Some random points at the west of Punta Arenas, but overall very good.",2025-01-27T16:28:28.759Z
119,higtin1,Highland Tinamou,Central America,1,TRUE,North America,,https://birdsoftheworld.org/bow/species/higtin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,01-04,05-03,12-27,3,3,3,3,3,,,0.75,Looks quite good to me.,2025-02-27T17:29:57.369Z
140,grytin1,Gray Tinamou,Colombia,1,TRUE,South America,,https://birdsoftheworld.org/bow/species/grytin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,A touch species. Incorrectly extrapolated north of Santarém and maybe on edge of core in Brazil. Incorrectly missing from lots of Colombia and n. Ecuador. ,2025-01-21T21:53:57.964Z
126,gretin1,Great Tinamou,Central America,1,,North America,,https://birdsoftheworld.org/bow/species/gretin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,Ecuador and Colombia north are excellent. Rest of the range is appropriately honest and sparse.,2024-09-13T19:55:47.470Z
174,littin1,Little Tinamou,Central America,1,,South America,,https://birdsoftheworld.org/bow/species/littin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,1,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"Animation noisy in Amazon. Overall, excellent. More honest about what we're missing in the Amazon basin and Venezuela.",2024-09-10T20:00:14.148Z
159,brotin1,Brown Tinamou,Brazil,1,TRUE,South America,,https://birdsoftheworld.org/bow/species/brotin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,06-21,10-18,12-27,3,3,3,3,3,,,,"Venezuela range probably too sparse, otherwise, impressively good. Lowland Brazilian Amazon pop underpredicted.",2025-01-21T21:19:22.988Z
214,slbtin1,Slaty-breasted Tinamou,Central America,1,,North America,,https://birdsoftheworld.org/bow/species/slbtin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Better everywhere this year. Animation has a lot of detection pulse noise.,2024-09-12T20:48:16.390Z
203,thitin1,Thicket Tinamou,Central America,1,,North America,,https://birdsoftheworld.org/bow/species/thitin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"Patchy in a number of parts of Mexico in small ways, the far western part of the range, Colima, Tabasco, and e. Chiapas.",2024-09-20T21:26:02.804Z
154,tattin1,Tataupa Tinamou,Brazil,1,TRUE,South America,,https://birdsoftheworld.org/bow/species/tattin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"Some detection in animation, especially NE Brazil. Southern half of range is great. Missing a few birds on the edges, especially around Goias and Tocantin and Bolivia especially, but generally quite good.",2025-01-23T14:44:46.356Z
85,rewtin1,Red-winged Tinamou,Brazil,1,TRUE,South America,,https://birdsoftheworld.org/bow/species/rewtin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,0.75,"Very bad detectability signal in animation (assuming they stop vocalizing?). Could go a bit further northeast in Brazil, otherwise, fantastic.",2025-03-04T14:32:07.098Z
106,orntin1,Ornate Tinamou,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/orntin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,VPM,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"A bit of breathing, but overall looks perfect.",2025-02-12T13:28:44.863Z
111,chitin1,Chilean Tinamou,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/chitin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,VPM,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"A bit noisy in the borders, but overall ok.",2025-01-24T15:25:06.047Z
92,andtin1,Andean Tinamou,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/andtin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,VPM,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"Central Peru can be better, it looks extrapolated there. Overall seems overfitted, but good.",2025-02-12T16:39:36.659Z
71,sponot1,Spotted Nothura,Brazil,1,TRUE,South America,,https://birdsoftheworld.org/bow/species/sponot1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,1,,,,,,,,,01-04,05-03,11-29,12-27,3,3,3,3,3,,,0.75,Excellent.,2025-03-04T14:47:28.040Z
49,elctin1,Elegant Crested-Tinamou,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/elctin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,VPM,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2025-01-27T13:42:57.608Z
44,puntin1,Puna Tinamou,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/puntin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,VPM,1,,,,,,,,,01-04,,,12-27,1,1,1,1,1,,,,"This species is highly local in Chile, and the model severely overestimates its distribution in that country. In Peru, the model shows it is divided, but I'm unsure about that. It also overestimates S Bolivia and all its southern distribution.",2025-02-12T13:38:08.663Z
45,pattin1,Patagonian Tinamou,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/pattin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,VPM,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"It shows some breathing, besides being a resident species. But overall, it looks very good.",2025-02-12T00:11:22.814Z
15,emu1,Emu,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/emu1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"Maybe a bit of seasonal ""breath"" to the animation. Doing well with areas with lots of data. Missing the sparsely reported birds in NW of continent. Potentially overpredicted in SE Western Australia and NW South Australia, where they appear to not be reported. A few more years of data and this should be complete.",2024-11-19T20:17:17.525Z
21,sobkiw1,Southern Brown Kiwi,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/sobkiw1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,3,,,,,,,,,01-04,11-08,03-15,12-27,3,3,3,3,3,,,,Pretty strong projection for this species with possibly a small amount of extrapolation but looks great and showing Rakiura/Stewart Island as the stronghold.,2024-09-29T03:21:13.867Z
24,okbkiw1,Okarito Brown Kiwi,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/okbkiw1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Fits this very range restricted species well. No extrapolation beyond expected range.,2024-09-15T01:50:01.332Z
25,nibkiw1,North Island Brown Kiwi,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/nibkiw1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,1,,,,,,,,,01-04,10-11,02-15,12-27,1,1,1,1,1,,,,Way over predicted again.,2024-09-15T01:45:00.607Z
27,liskiw1,Little Spotted Kiwi,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/liskiw1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,2,,,,,,,,,01-04,09-27,03-29,12-27,2,2,2,2,2,,,,"Much better than last time apparently but extrapolating them beyond islands in Fiordland and then beyond Wellington city (Zealandia Sanctuary) which is incorrect. Other than that, the tightly restricted range of this species is captured reasonably well.",2024-09-15T01:10:20.366Z
29,grskiw1,Great Spotted Kiwi,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/grskiw1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,2,,,,,,,,,01-04,12-13,02-22,12-27,3,3,3,3,3,,,,"Range looks accurate, however the abundance almost flickers a bit too much over the winter period in particular which may be more to do with this species' detectability rather than anything else? Apart from that looks really good.",2024-09-15T01:05:52.881Z
233,souscr1,Southern Screamer,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/souscr1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"Missing n. Bolivia and Peru, otherwise excellent.",2025-03-03T20:13:39.516Z
234,norscr1,Northern Screamer,Colombia,1,TRUE,South America,,https://birdsoftheworld.org/bow/species/norscr1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"Missing birds on east side of Lago de Maracaibo, otherwise near perfect.",2025-01-16T15:06:26.824Z
236,maggoo1,Magpie Goose,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/maggoo1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,05-24,08-23,,,10-04,03-29,,,,,,,2,0,2,0,2,,,,Animation seems to capture some dry/wet contraction. Not sure how well this lines up with breeding/nonbreeding.,2025-01-23T20:31:23.781Z
239,plwduc1,Plumed Whistling-Duck,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/plwduc1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Interesting dispersal patterns. Potentially missing some of interior?,2025-02-14T21:37:38.474Z
240,wfwduc1,White-faced Whistling-Duck,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/wfwduc1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,0.75,Not quite complete in Africa. South america is excellent.,2025-03-06T18:40:10.454Z
243,bbwduc,Black-bellied Whistling-Duck,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/bbwduc/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-20,03-08,03-15,05-03,05-10,08-30,09-06,12-13,,,,,2,2,2,2,2,,,,"Animation noisy in South America. Interesting to see potential austral nonbreeding move to Amazon river and breeding expansion out into eastern Brazil, potentially. South America honestly patchy and noisy throughout Brazil. North America great.",2024-09-26T17:57:53.017Z
